Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6
0,10084,3150,3498,11772,13457
108,10242,3280,3488,11827,13311
0,10266,2906,3862,11990,13864
113,10336,2702,3138,12297,13559
70,10464,3317,3303,12139,13895
91,10265,3044,3152,12540,13660
448,9285,2992,3765,12137,13340
272,10263,3316,4039,12763,13402
351,10076,4347,3596,11994,13396
0,9929,3066,3296,11966,13512
151,10343,3009,3095,11741,13663
132,10082,3016,3418,12232,13478
70,10136,3026,3505,11978,13185
204,10501,3149,3728,12140,13437
0,9220,2929,2899,11573,13658
471,10508,3121,3617,12032,13221
0,10144,2911,3259,11694,13645
132,10377,3092,3180,12218,13622
0,9914,3186,3477,11962,13691
0,10158,3120,3530,12019,13328
0,10086,3011,3465,11988,13799
340,10627,3316,3514,11876,13578
243,10475,3314,2693,12121,13275
168,10427,2712,3353,11423,13640
0,10157,2765,3184,12024,13642
109,9268,2424,3308,11694,13662
41,10264,2670,3385,11923,13526
0,10277,2108,3127,11917,13668
0,11067,2861,3131,11844,13658
0,10122,3021,3172,11881,12693
0,10310,2744,2871,12107,13747
49,10327,2856,3883,12034,13277
144,10212,1877,3392,11924,13517
0,10621,3171,3455,12233,13457
0,10176,3007,3293,11336,13336
0,10408,3243,2494,12059,13179
305,10624,3350,3567,11868,14262
0,10414,3199,3635,11968,13927
122,10424,3594,3396,12012,13395
373,10818,3268,3552,12032,13226
608,10162,4070,3002,11674,13789
105,10319,3146,3419,12158,13365
0,10297,2889,2596,12474,13628
161,9660,3134,3967,11969,13833
276,10606,3327,3628,11949,13392
0,10376,3269,3602,12131,13226
212,10195,3358,3829,12037,13735
0,10432,3177,3480,12027,13306
404,9472,2814,3204,11906,14309
0,9616,1895,3392,12816,12908
43,10412,3367,5893,11933,13429
288,10605,3194,3435,12032,13994
149,10008,3064,3402,11781,13433
221,10114,3466,3556,11731,13031
0,10344,3131,3576,12052,13203
89,10498,3216,4004,12144,13433
306,10464,3318,3609,12133,14113
102,10449,3182,3318,12065,13492
104,10432,2569,3447,13120,13160
49,10376,2949,3333,12367,13517
255,10371,3148,3111,12228,14416
252,10389,2956,3404,11785,13268
0,10936,3141,3424,11711,13724
0,10351,3056,3444,11936,13424
383,10818,3020,3308,12256,13328
0,10180,3017,2880,12066,13686
340,10582,3114,3520,11164,13535
1003,9876,3413,4078,12116,13814
278,10321,3067,3782,11718,13200
684,10622,3277,3642,12118,13270
192,10400,3116,3267,11896,13586
373,10136,2833,3252,11923,13496
0,10542,2255,3397,11667,13570
0,10278,2668,2990,11689,13548
327,10500,3234,3446,11800,13376
145,10492,3850,3317,12232,13672
224,10875,2832,3329,11919,12763
308,10522,3273,2572,12050,13261
633,10172,3061,3385,12298,13584
0,10504,2784,3377,11614,13448
93,10513,2811,2981,11939,13686
184,10536,3306,3493,11886,12912
0,10327,3261,3544,12020,13266
218,10226,3019,3552,11965,13359
288,10459,3013,3318,12040,13535
454,10104,3847,3148,11449,13889
113,10255,2168,3831,11951,14563
192,10485,1994,3424,11899,13115
0,9899,2677,3028,12061,13672
69,9516,2937,3132,11907,13767
441,10224,3732,3090,11972,13641
229,10738,3493,3837,12165,13560
0,10151,3012,2970,12074,13785
252,10473,3145,3493,11777,12810
0,10078,2996,3958,11950,13420
0,10181,3056,2628,12265,13773
0,10549,3112,3367,12482,13407
283,10394,2888,3367,11808,13314
13,10114,3091,3234,11886,13796
130,10475,3441,3634,12044,13311
72,10449,3214,3638,12139,14165
531,10100,3677,3053,11892,13618
344,10549,3175,3419,12108,13259
194,10620,3281,3217,12339,13460
0,10688,3581,3483,11628,13381
36,10277,2455,3071,11943,13784
268,10480,3110,3284,11894,13572
280,10418,2933,3691,12135,13311
263,10471,3689,3343,11483,13381
0,9380,3321,3680,12993,13293
546,10103,2846,3354,11875,13589
0,10531,2957,3272,11608,13248
27,10304,2381,2881,12219,13577
0,10156,2772,2502,11565,13677
0,10344,3180,3522,12074,13135
182,10517,2824,3229,11728,13548
0,11189,3069,3229,11752,13547
92,10324,2880,3501,12059,13341
645,10184,3641,3059,11684,13834
0,10066,2999,3571,12048,13596
98,10353,3011,3265,11760,13658
152,10326,3228,3392,12184,13544
317,10367,3005,3623,12112,13796
56,10105,2728,3306,11925,13265
213,10593,3278,3562,12048,12411
0,10382,3220,3810,11969,13414
109,10485,3220,3395,11784,13561
215,10425,3167,3207,11400,13498
96,10348,2972,3564,12060,13325
156,10535,3127,3466,11947,12992
0,10136,2715,3172,11970,13602
618,10176,2149,3904,11836,13479
74,10371,3167,3134,11928,13481
258,9978,3114,3272,11785,13539
292,10656,2506,3588,12324,13259
248,10290,3144,3502,12177,13586
22,10133,2964,3322,11675,13925
184,10429,3328,3590,12515,13314
940,10102,2940,3304,11840,13818
253,9698,2992,3725,12072,13856
230,10728,2933,2606,12337,13603
62,10598,2715,3361,13086,13542
411,10509,3181,3579,12038,13055
