1220,3963,2968,4828,0,14251,11014,12294
1428,4645,2805,4569,0,14539,12427,14008
1039,4157,2554,4308,0,14231,12799,14663
754,4477,3097,3674,0,14407,12917,14889
1642,4717,2711,4607,0,14203,12964,14847
1318,4607,2559,4259,0,14572,13004,15038
1442,4818,3020,4563,0,14265,12974,15034
1110,4384,2546,4197,0,14851,12993,15027
1569,4564,2972,4409,0,14808,12986,15003
66,4294,2676,4728,0,14890,13037,15005
938,4606,2858,5164,0,14665,13005,15033
1221,3162,2612,4653,0,14737,13013,14998
1553,4037,2749,4563,0,14683,13012,15013
1422,4379,2946,4424,0,14857,12985,14974
1240,4566,3594,4432,0,15440,13019,15045
1179,4442,3349,4350,0,14634,12996,14980
1263,5550,2425,4195,0,14760,13032,15031
1217,4607,2704,4318,0,14589,13018,15036
1554,4425,2812,4472,0,14407,12960,14975
1272,4416,2670,4227,0,14677,13016,15053
1450,4426,2765,4573,0,14972,13036,15044
1260,4056,2597,4674,0,14630,12996,15047
1312,4450,2773,4549,0,14616,13013,15032
659,4324,2705,4490,0,14696,12985,15007
922,4581,2778,5124,0,14799,13020,15031
1548,4342,2577,4442,0,14594,13046,14976
1530,5429,2930,4682,0,14597,13001,15024
1384,4442,3302,5676,0,14919,12960,15036
1710,4330,2248,4867,0,15254,13028,15052
1433,4401,2312,4313,0,14617,13046,15092
943,4465,2752,4706,0,15557,13010,15064
1238,4221,2736,4304,0,14790,12993,15069
1162,4271,2789,4113,0,14752,13012,15040
1212,4524,2642,4005,0,14239,13014,15106
1186,4362,2853,4216,0,14486,12998,14997
1715,5034,2689,4521,0,14468,13008,14939
1247,4672,2801,4353,0,15490,12988,15056
254,4254,2726,4205,0,14797,13018,15020
1676,3837,2964,4548,0,14549,12985,15053
1302,4607,2886,4477,0,14243,13034,15100
1488,4607,2934,4591,0,14702,12999,15013
1421,4494,2926,3982,0,14548,12997,14935
2182,3872,2557,4486,0,14847,13001,15078
1488,4608,2688,4456,0,14847,12992,14974
1371,4743,3218,4550,0,14503,13040,14975
1457,4758,1535,4289,0,13944,12998,15068
