Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6
882,12884,4558,4521,17600,14450
664,13639,4528,4356,17919,14838
388,12799,4564,4476,17988,14460
336,12970,4425,4254,17381,14436
323,12868,3887,4479,17804,14565
328,12910,4437,4472,17758,14754
740,12926,3942,4620,17710,14574
1626,12634,4166,4128,17254,14600
742,13746,4516,4392,17527,14268
404,14116,4692,3583,17604,14791
631,13049,4544,4418,17588,14224
656,13430,3446,4607,17668,14890
472,13142,4607,4311,17678,14339
742,13476,4690,4395,17609,14251
352,13012,4472,4240,17760,14445
623,13221,4214,4340,17174,14511
584,13258,4698,4503,17742,14461
444,12237,4448,4326,17789,14743
872,12697,4047,4226,17847,15048
477,12438,4370,4277,17725,14724
408,13149,4343,4416,17866,14616
669,12961,4476,4830,18432,14472
709,12702,4614,4245,17853,14465
893,12747,4381,4324,17548,14723
64,12906,4428,4049,17660,14691
423,12876,4349,4436,17922,14765
626,13108,4548,4378,17508,14434
757,13436,4756,4645,17764,14480
774,12624,4232,4470,17758,14473
753,13161,5660,4528,17566,14515
182,12753,3978,4247,17624,14847
520,13067,4729,2882,17697,15576
516,13114,4627,4475,17581,14500
352,12700,4169,4352,17557,14723
0,12896,4192,4053,17508,14401
77,12950,4298,4160,17342,14438
689,13053,4624,4384,17439,14429
528,12840,4411,4342,17284,14139
1098,12880,3670,4353,17745,14431
786,12797,4152,4268,17419,14486
162,12975,4102,4024,17309,14784
928,12854,4363,4427,17782,14536
555,13625,5078,4424,16709,14570
0,13108,4555,4584,17576,14009
442,12923,4394,4260,18159,14413
670,13046,4560,4631,17569,13875
478,13143,4200,4514,17429,14196
538,12832,4415,4184,17726,14592
607,12995,4622,4405,17676,14348
282,13131,4560,4002,17514,14847
356,13028,4485,4175,17461,14342
448,12836,3583,3951,17454,14587
460,13072,4687,3466,18033,14300
464,13025,4407,4486,17775,14460
897,13012,4465,4450,17430,14284
0,13098,4573,4518,17428,14266
511,13149,4632,4402,16246,14363
1562,12973,4267,4458,17678,14516
484,12714,4250,3993,17472,14709
