Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6
511,11943,4524,3992,16986,14454
636,12422,4152,4631,17764,14702
536,12758,4317,4117,16774,14608
379,12338,4300,3898,16914,13653
150,12415,3873,3894,17296,14535
547,12661,4509,3140,17336,14145
130,12402,4101,3833,16486,14696
347,12753,4218,3918,17013,14537
302,12555,4426,3961,17441,14069
511,12711,4759,3861,16512,14574
330,12476,4170,3940,17236,14592
297,12360,4172,4017,17452,14714
624,12615,4378,3670,17354,14346
94,12944,3861,4420,17075,14370
692,12789,4341,4283,17377,14144
548,12441,4021,3984,17096,14648
320,12205,3951,4004,17288,14366
537,12852,4443,4607,17669,14282
326,12372,2649,3980,18177,14516
329,12838,4406,4263,17024,13904
411,12770,4328,4296,17288,14458
452,12912,4288,4131,17673,14155
298,12460,4147,3766,17253,14781
677,12648,4564,3964,17416,14240
540,12496,4152,4128,16823,14016
262,12211,4266,3804,17167,14676
554,12970,4238,4597,17348,14588
640,12314,4436,4501,17139,14150
317,12189,3765,3957,17822,14771
698,12780,4330,4232,17419,14037
561,12799,4433,4268,17357,14262
251,12416,4008,3627,17424,14604
181,12419,4016,4010,17294,14488
704,13069,4555,4345,17550,14847
936,12664,3702,3938,16788,14290
128,12389,4541,3790,16802,14484
704,12600,4130,4005,17588,14420
506,12776,4689,3497,17157,14644
0,12818,3909,4456,17310,14518
121,12348,4012,4026,17347,14449
365,12472,4347,2959,17209,14389
544,12780,4420,3968,17339,14665
448,12736,4351,4283,17498,14571
88,12720,3914,4256,17517,14171
260,12599,3986,3826,17411,14673
274,12791,4318,4150,17141,14294
94,11609,5005,4109,16895,14273
511,12228,4108,4125,17112,14413
279,12490,4344,4139,17558,14039
637,12076,4530,4464,17224,14416
276,12509,4196,4114,17568,14523
274,12837,4489,3841,17302,14638
539,12765,4206,4104,16223,14437
67,12869,4167,4258,17480,13402
171,12465,4337,4020,17772,14380
180,12553,4607,4012,17148,14684
260,12442,3298,3871,17634,14674
89,12380,3805,4129,17224,14437
323,12320,3982,4014,17468,14572
524,12510,4386,4983,17535,14253
160,12772,4228,4234,17712,14297
336,11930,4100,4061,17182,14684
368,11781,4017,4343,17437,14553
156,13514,4026,3188,17476,14609
712,13082,4474,4174,17491,14763
511,12941,4565,4409,17460,14034
507,12887,4648,4274,17254,14116
950,12849,4334,4588,17249,14155
487,12567,4025,3948,17034,13795
397,12668,4352,4052,17054,14662
320,12403,4181,4106,17201,14416
415,12568,2967,4044,17065,14675
670,12875,4244,4176,17506,14392
240,12352,3940,3996,17173,14682
368,12675,4216,4048,17117,14792
0,12534,4278,4270,16904,14412
493,12799,4331,4255,17231,14181
444,12414,3944,4047,17539,14341
516,13179,2833,3934,17514,14165
298,12497,4252,3972,17477,14625
434,12715,4373,4208,17580,14625
530,12726,4556,4460,17546,14742
653,12527,4650,3147,17315,14128
0,12584,4237,4012,17244,13859
344,11607,4102,4206,17296,14592
586,12866,4889,4322,17088,14233
483,12444,3957,3945,17286,14609
30,12912,3967,3984,17111,14429
970,12932,4328,4260,17346,14957
256,12525,3082,3907,17501,14450
301,12704,4434,4282,17450,14250
508,13228,4232,4371,17285,14663
431,12535,4248,3389,17260,14286
0,11965,4607,3288,17515,14283
280,12784,4423,4897,17131,14006
0,12334,4031,3944,17156,14497
0,12609,4308,4113,17493,14293
0,12701,3975,4061,17184,14136
638,12752,4319,4208,17285,14300
218,12729,4265,4105,17440,14472
281,12612,4249,4029,17411,14450
373,13019,4475,4691,17884,14203
431,12235,4008,3974,17015,14718
878,12736,4384,4744,17173,14409
0,12582,3379,4299,17672,14423
516,12560,4139,3976,16949,14595
472,12614,4406,4242,16469,14709
205,13823,4472,3807,17513,14247
137,12393,3998,3915,17384,14692
337,12112,4045,3926,17203,14214
457,12799,4407,4236,16953,14336
