Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6
0,9867,2696,3189,11892,13471
0,10044,3002,3404,12569,13168
200,10320,3295,3659,12608,13298
261,10108,3536,3800,12231,13317
704,10459,3094,4215,12138,13357
0,10365,2989,3432,11498,12888
0,10200,3292,3505,12518,12742
352,10510,3309,3511,12180,13181
0,10103,3012,3167,12016,13408
0,9968,2882,3397,11721,13566
126,10528,2899,3303,12324,13473
43,10218,3292,2825,11933,13333
95,9966,2718,3572,11825,13311
375,10344,2684,3544,12194,13440
0,10032,2712,3217,12085,13618
477,9886,2756,3254,12214,13572
0,10226,3043,3188,12088,13309
0,10058,2706,3373,12064,13737
968,10255,4112,3470,12112,13640
216,10171,2988,3305,11909,13319
162,10304,3187,3128,10916,13565
985,9938,2857,3280,11472,13374
182,9556,2816,3170,11346,13672
0,10288,3271,2774,11324,13878
0,10386,3314,3438,12064,13311
0,10094,3039,2729,12341,13364
122,10382,3197,3509,11759,13484
4,10154,3190,3733,11516,13400
240,10542,3157,2884,11904,13437
144,9343,2926,3583,12004,13864
121,10264,3110,3340,12054,13223
55,9920,2772,3392,12027,13693
0,9557,2664,2990,12068,13224
960,10264,2285,3949,12086,13786
373,10532,2710,4076,12215,13581
199,10416,3373,3112,12444,13561
114,10384,2980,3266,11865,13463
22,9341,3073,3190,12270,13551
88,10086,3049,3160,12090,13725
116,10258,2977,3258,11872,13577
0,10935,2918,3317,11684,13425
0,10135,2779,3077,12524,13625
114,10372,2724,3181,12364,13592
0,9923,2885,2979,12042,13515
0,10672,2762,3428,11541,13586
0,9988,2557,3326,11916,13432
0,9465,2890,3472,12235,13654
37,10200,3009,3154,12239,13732
0,9798,3732,3962,11967,12883
42,10071,2812,2897,11988,14321
0,10441,3019,3330,11849,13448
0,10020,3104,3208,12228,13632
0,10527,2849,3193,11761,13558
149,10379,3004,3562,12308,13736
360,10198,2820,3358,12259,13563
0,9904,2712,3469,11244,13402
279,10773,3404,3600,12067,13413
388,10296,3023,3558,12027,13200
65,10364,3116,3542,11987,13237
0,10016,2934,3040,11905,13674
105,10150,3071,3523,12356,13469
192,9501,3390,3154,11867,13572
505,10048,2827,3365,12333,13381
0,9963,3034,3179,11945,13351
395,10168,4658,3421,12015,13719
0,9699,2784,3217,11913,13334
0,10531,3122,3192,11798,12841
172,9959,3359,3236,11842,12899
0,10056,2700,2870,12132,13710
0,10133,2827,3238,12093,13787
0,9181,2228,3464,12180,13400
276,9963,2909,3496,11884,13360
101,10192,3084,3138,12348,13502
104,10011,2771,3212,12527,13500
160,10167,2918,3319,12096,13319
52,10630,2924,3091,11984,13675
1658,10009,3303,3789,11986,13608
0,9900,3091,3797,11912,13619
0,10339,2780,3379,11968,13355
0,10315,3189,3354,11869,12701
0,10352,2888,3262,11817,13284
213,10281,3213,2295,12190,13225
78,10183,2745,3472,12127,13386
0,10971,3154,3154,11885,13485
0,8996,1756,3071,12006,13297
0,9307,2269,3631,11995,13305
595,10360,3281,3290,12324,13316
0,10307,2865,3128,13010,13659
110,7023,2874,3342,12260,13632
180,10218,3119,3428,10784,13310
449,10070,2851,3278,12459,13394
4,10124,3104,3741,12112,13821
228,10433,3288,3388,11977,13113
343,10152,3159,3421,12008,13444
368,10914,3335,3550,12202,13051
0,10183,3352,3168,11200,13515
216,10406,3487,3372,11369,13449
0,10105,3264,3500,11938,13771
388,10262,3251,3473,12110,13616
61,10159,2925,2874,12214,13783
7,9593,2730,3067,12120,13452
254,10009,3065,3209,11812,13555
205,10314,3629,2685,12542,13438
283,10105,2911,3096,11913,13496
165,10128,2943,3288,12331,13898
44,10060,3094,3485,12728,13401
348,10569,3199,3436,12183,13704
13,10420,3265,3436,12274,13430
125,9587,2787,3158,11730,13516
124,10382,3168,3328,12096,13236
70,10254,1840,3274,12385,13288
192,10472,3200,3222,12534,12762
201,10318,3077,3393,12196,13242
220,10525,3264,3415,12158,13073
0,10253,2946,3514,11655,13228
515,10273,2957,3155,12081,13619
137,10079,2919,4256,12000,13696
0,9977,2840,3275,12625,13417
257,10078,2952,3349,12462,13428
96,9982,3138,3188,12221,13514
0,10445,3057,3401,12220,12668
116,10186,2970,3310,12504,13322
0,10189,3170,3501,12029,13204
0,9960,3062,3504,11988,13132
158,9625,3068,3446,11679,13496
533,10136,3206,3745,11879,13790
193,10403,3256,3476,11776,13249
73,10014,2894,3046,12238,13876
0,9944,2680,2985,12171,13590
273,10315,3071,3384,12090,13461
0,9805,2700,3230,11898,13510
0,10180,2902,3012,12137,13705
2646,10035,3777,2917,11719,13755
338,10070,2942,3433,12240,13200
887,11066,3839,2968,11842,13527
189,9983,3021,3628,11916,13443
0,9895,3082,3306,11848,13497
0,9883,1964,3264,11882,13409
0,9312,2320,3408,11960,13272
192,10273,2992,3429,12276,13346
329,9734,3071,3686,11858,13273
599,10102,2975,3456,12228,13308
0,9802,2838,3313,11906,16121
0,9813,2959,3054,12028,13515
66,10258,2705,3626,11959,13228
363,10408,3853,3479,11263,13361
295,10475,2128,3473,12686,13498
401,10283,3280,3036,12270,13939
0,10019,2955,3568,11995,13472
55,7360,2944,3215,12396,13571
461,10890,2983,3630,12028,13582
437,10036,2973,3500,11857,13494
98,10244,3069,3492,12072,13440
243,10580,3113,3303,12470,13394
0,9968,1244,2963,11753,13757
0,10476,2667,3124,11928,13524
0,9952,2941,3278,12304,15263
0,9871,2869,3037,11993,13408
0,9910,2860,3925,11938,13790
223,10432,3522,3453,11615,13454
308,10486,2456,3561,12040,13147
0,9966,3059,3284,11803,13104
52,10155,1911,2791,12228,13569
0,9979,3104,3217,11958,13236
66,10178,2378,3160,12064,13564
608,10689,3606,3222,11328,13439
0,10034,2888,3655,11794,12884
267,10333,3312,3389,12048,13334
906,10210,2863,3308,12024,13255
382,9987,3154,3392,11941,13420
206,10514,3144,3397,12018,13316
371,10180,2551,3278,12271,13028
391,10877,3156,3545,12179,13142
0,10677,3069,3558,11930,13535
355,10763,3168,3238,12112,13303
324,10039,2874,3616,12052,13225
88,10054,2949,3502,12915,13417
456,10065,2837,3161,12067,13482
328,10075,3016,3506,12116,13507
260,10111,3062,3324,12530,12671
0,10138,3079,3334,12371,13875
345,10368,3281,3026,12215,13121
439,10290,3152,3627,12033,13234
137,10024,3350,3617,12383,14245
12,9516,2978,3148,12030,13648
0,10108,2856,3055,12000,13667
352,10416,3186,3440,11764,12678
141,10192,3084,3272,11923,13230
94,10326,3100,3614,12317,13158
981,10010,3251,2242,12200,13549
18,10256,2890,3131,12126,13632
0,10215,2987,3329,11732,13321
15,10146,3414,4004,12140,13416
360,10811,3068,3118,12080,13311
131,10130,2989,3105,11926,13699
997,10078,3129,3475,12521,13512
137,10459,3192,3402,12780,13342
0,10189,2839,3000,12448,14036
0,10445,3428,3421,12023,13005
43,10100,3241,3337,12339,13661
0,9041,2776,4195,11852,13007
100,10363,3253,3461,11942,13264
207,9996,3160,3189,11921,13520
0,9875,2985,3233,11810,13256
0,10255,2902,3576,11813,13440
1276,9878,4124,3706,11817,12776
0,10528,3034,3290,11994,13490
0,10323,2906,3216,12040,13551
298,10495,2998,3337,12350,13510
0,9261,3128,3538,11831,13066
8,10315,2994,3382,12024,12558
0,9787,2838,3089,11904,13491
849,10497,2774,3264,11732,13547
98,10176,3136,3451,12121,13165
0,10116,2832,2993,11963,13637
92,9972,2755,3068,12136,13548
0,10388,2825,3040,12775,13573
243,10346,3261,2746,12292,13341
0,10153,3142,3500,12096,13279
28,9226,3124,3136,12114,13290
836,10143,2988,3402,12300,13301
144,9215,3063,3728,11683,13450
0,9948,3021,3194,11778,12638
197,10049,3494,3632,12038,13272
0,10113,2875,2995,12092,13611
175,10133,3589,3608,12089,13575
35,10035,3026,3344,13027,13384
252,10273,3262,3221,12201,13165
236,10292,3312,3360,11900,13521
88,10064,2980,3173,11998,13691
29,10122,2790,3282,12319,13358
140,10257,2842,3165,11851,13543
197,10184,2889,3107,11986,13309
0,10026,3500,3913,12040,13725
0,9849,2690,3116,12073,13582
192,10282,3071,3317,12369,13442
116,10057,2796,3222,12150,13425
0,9953,3525,3050,12116,13655
193,10208,3297,3084,12030,13514
88,10396,3501,3638,12057,13325
44,10160,2979,3192,12123,13658
104,10383,3150,3397,12088,13345
0,9947,2738,2559,11670,13300
0,10142,2630,3140,12338,13653
0,10106,3202,3564,11806,13474
0,10846,3031,3327,11660,13511
662,10001,3132,3557,12186,13644
0,9965,2854,2728,11981,13248
685,9777,2648,3200,12123,13549
0,10020,2970,3678,12025,13483
0,10500,2912,3240,11767,13328
150,10553,3257,3512,12234,13121
0,10137,2871,3178,12152,13483
0,9983,2842,3176,12116,13956
72,9200,3053,3153,12134,13743
425,10213,2966,3663,12244,13267
0,10482,2920,3443,12112,13306
118,9127,2923,3239,11843,13545
432,10130,2851,3051,12443,13547
297,10524,3416,3434,11867,13366
136,10196,3197,3251,12214,13439
119,9973,3318,3670,12030,13158
0,10002,3055,3482,12054,13140
56,10164,3070,3222,12533,13693
170,10230,3049,2536,12397,13465
381,10166,2899,3648,12001,13596
481,10059,2920,3292,11838,13294
