Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6
238,10288,2981,2896,12216,13344
80,10408,2725,3185,11616,13694
805,10390,3568,3037,11691,13847
115,9941,3056,3342,11733,13379
268,10490,3206,3495,12056,12807
778,10282,2875,3350,12252,13592
0,10369,3412,3465,11908,13366
44,10457,3167,3248,11930,13456
97,10439,3341,3242,12394,13588
38,10420,3023,3354,12681,13452
0,10588,3297,3721,11991,13179
100,10430,3120,3301,12218,13430
217,9849,3130,3575,11976,13602
90,10474,3201,4691,11629,13460
212,10629,3440,2652,12084,13466
149,10588,3098,3676,11958,13398
46,10598,2896,3541,12062,13351
23,10561,2928,3944,11448,13915
176,10458,3066,3398,11910,13700
0,10305,2984,2699,11952,13260
460,10260,3272,3321,11921,12544
0,10476,3146,3379,12202,13641
0,10137,3320,4260,11979,13547
0,10724,3275,3299,12258,13485
157,10513,3243,3179,11026,13885
0,10342,3143,3368,11818,13960
0,11480,2941,3156,12106,13514
226,10457,3016,3408,12314,14106
216,10500,3088,3351,11262,12973
280,10793,2920,3228,11752,13502
216,10674,3208,3460,11828,13540
429,9798,3006,3525,11885,12785
8,10408,2917,2829,12101,13653
198,10247,3003,3236,11750,13696
0,10020,2985,3530,12547,13541
125,10406,3435,3706,12721,13301
225,10600,3340,3522,11736,13364
0,10520,3054,3621,11746,13544
83,10448,3140,3379,11749,13212
205,10390,3318,2995,11799,13850
0,10532,2756,3209,11448,13652
0,10270,2946,3153,11414,13635
94,10426,3305,3404,11674,13506
814,10088,2922,3396,11939,13810
20,10470,2918,4018,11555,13763
1200,10542,2574,3289,12721,13444
126,10349,3068,3350,12750,13565
87,10284,3163,4080,11954,13707
0,10161,3043,3299,11922,13667
84,10357,3012,2932,11713,14272
0,10164,3085,3483,11979,13206
0,11361,3194,3438,11741,13562
0,10176,3340,3379,11061,13748
194,10607,3197,3480,12118,13512
144,10392,3363,3679,12205,13504
251,10474,3071,3258,12436,13656
138,10532,3330,3118,11993,13097
56,10336,3069,3205,12027,12975
0,10831,3163,3368,11754,13660
409,10554,3041,3280,11336,14446
301,10124,3316,3628,12090,13357
93,10164,2868,3128,11777,13460
147,9745,2946,4001,11988,14078
224,10391,3175,2933,15041,13416
110,10314,2930,3321,12271,13303
17,10495,3069,3520,12013,13380
295,10855,3410,3693,11901,12483
202,10607,3319,2722,12194,13284
176,10605,2870,3508,12424,13454
430,10816,3413,3604,12040,13500
20,10308,2641,3496,11684,12872
29,10276,2992,3059,11912,13917
380,10264,2982,3417,11684,13093
241,10354,2845,3311,11912,13581
171,10618,3361,3628,11855,13390
0,10459,3241,3671,12027,13294
123,10530,3162,3159,11764,13671
0,10438,3035,3224,12364,13892
428,10447,3128,3470,12559,12787
139,10660,3141,3505,11901,13399
102,10760,3247,3607,11940,14000
468,10339,3062,3714,11946,13478
69,10162,2607,3211,12310,16241
0,10582,3238,3819,11836,13384
312,10774,3176,3544,12021,13226
167,10567,3629,3478,11160,13051
0,10614,3432,3660,12270,13352
44,10484,3067,3254,12667,13540
406,10731,2957,3424,11753,13424
324,10674,3441,3525,11952,13379
192,10672,3436,3687,11950,13296
281,10320,3578,3664,12159,13452
0,10425,2922,2652,12501,13776
0,9492,3266,3496,11947,13127
17,10408,3240,3272,11775,13623
0,10025,2934,3444,11829,13384
0,10450,3211,3616,11913,14517
239,10766,2819,3348,11808,13532
260,10452,2930,3495,11922,13463
0,10227,2918,3104,11878,12892
70,10432,2953,4024,11782,13374
198,10262,3100,3109,11803,13619
34,10756,3128,3259,12445,13902
155,10383,3016,3030,12143,13272
0,10471,3028,3348,12120,13702
273,10729,3119,3166,11746,13526
0,10464,3234,2549,12132,13257
208,10861,3010,3422,12293,13623
128,10683,2985,3323,11852,13606
0,11287,3139,3147,11205,13651
44,10472,2982,3726,11916,13189
320,10385,3393,3369,11628,13750
56,10597,3047,3019,12082,13840
